source_table,target_table,source_column,target_column
CarePlan,care_plan,,
CarePlan,care_plan,id,id
CarePlan,care_plan,resourceType,resource_type
CarePlan,care_plan,meta_versionId,meta_version_id
CarePlan,care_plan,meta_lastUpdated,meta_last_updated
CarePlan,care_plan,meta_profile_0,meta_profile_0
CarePlan,care_plan,text_status,text_status
CarePlan,care_plan,text_div,text_div
CarePlan,care_plan,identifier_0_system,identifier_0_system
CarePlan,care_plan,identifier_0_value,identifier_0_value
CarePlan,care_plan,instantiatesCanonical_0,instantiates_canonical_0
CarePlan,care_plan,status,status
CarePlan,care_plan,intent,intent
CarePlan,care_plan,category_0_coding_0_system,category_0_coding_0_system
CarePlan,care_plan,category_0_coding_0_code,category_0_coding_0_code
CarePlan,care_plan,category_0_coding_0_display,category_0_coding_0_display
CarePlan,care_plan,title,title
CarePlan,care_plan,description,description
CarePlan,care_plan,subject_reference,subject_reference
CarePlan,care_plan,subject_display,subject_display
CarePlan,care_plan,encounter_reference,encounter_reference
CarePlan,care_plan,period_start,period_start
CarePlan,care_plan,period_end,period_end
CarePlan,care_plan,created,created
CarePlan,care_plan,author_reference,author_reference
CarePlan,care_plan,author_display,author_display
CarePlan,care_plan,contributor_0_reference,contributor_0_reference
CarePlan,care_plan,contributor_0_display,contributor_0_display
CarePlan,care_plan,contributor_1_reference,contributor_1_reference
CarePlan,care_plan,contributor_1_display,contributor_1_display
CarePlan,care_plan,careTeam_0_reference,care_team_0_reference
CarePlan,care_plan,addresses_0_reference,addresses_0_reference
CarePlan,care_plan,addresses_0_display,addresses_0_display
CarePlan,care_plan,supportingInfo_0_reference,supporting_info_0_reference
CarePlan,care_plan,supportingInfo_0_display,supporting_info_0_display
CarePlan,care_plan,goal_0_reference,goal_0_reference
CarePlan,care_plan,goal_0_display,goal_0_display
CarePlan,care_plan,goal_1_reference,goal_1_reference
CarePlan,care_plan,goal_1_display,goal_1_display
CarePlan,care_plan,activity_0_kind,activity_0_kind
CarePlan,care_plan,activity_0_status,activity_0_status
CarePlan,care_plan,activity_0_statusReason_coding_0_system,activity_0_status_reason_coding_0_system
CarePlan,care_plan,activity_0_statusReason_coding_0_code,activity_0_status_reason_coding_0_code
CarePlan,care_plan,activity_0_statusReason_coding_0_display,activity_0_status_reason_coding_0_display
CarePlan,care_plan,activity_0_reference_reference,activity_0_reference_reference
CarePlan,care_plan,activity_0_reference_display,activity_0_reference_display
CarePlan,care_plan,activity_0_detail_kind,activity_0_detail_kind
CarePlan,care_plan,activity_0_detail_status,activity_0_detail_status
CarePlan,care_plan,activity_0_detail_doNotPerform,activity_0_detail_do_not_perform
CarePlan,care_plan,activity_0_detail_scheduledTiming_repeat_periodUnit,activity_0_detail_scheduled_timing_repeat_period_unit
CarePlan,care_plan,activity_0_detail_location_reference,activity_0_detail_location_reference
CarePlan,care_plan,activity_0_detail_location_display,activity_0_detail_location_display
CarePlan,care_plan,activity_0_detail_performer_0_reference,activity_0_detail_performer_0_reference
CarePlan,care_plan,activity_0_detail_description,activity_0_detail_description
CarePlan,care_plan,activity_1_kind,activity_1_kind
CarePlan,care_plan,activity_1_status,activity_1_status
CarePlan,care_plan,activity_1_reference_reference,activity_1_reference_reference
CarePlan,care_plan,activity_1_reference_display,activity_1_reference_display
CarePlan,care_plan,activity_1_detail_kind,activity_1_detail_kind
CarePlan,care_plan,activity_1_detail_status,activity_1_detail_status
CarePlan,care_plan,activity_1_detail_doNotPerform,activity_1_detail_do_not_perform
CarePlan,care_plan,activity_1_detail_scheduledTiming_repeat_periodUnit,activity_1_detail_scheduled_timing_repeat_period_unit
CarePlan,care_plan,activity_1_detail_description,activity_1_detail_description
CarePlan,care_plan,activity_2_kind,activity_2_kind
CarePlan,care_plan,activity_2_status,activity_2_status
CarePlan,care_plan,activity_2_reference_reference,activity_2_reference_reference
CarePlan,care_plan,activity_2_reference_display,activity_2_reference_display
CarePlan,care_plan,activity_2_detail_kind,activity_2_detail_kind
CarePlan,care_plan,activity_2_detail_status,activity_2_detail_status
