table_name,ordinal,column_name,column_type,mode,schema_file
CarePlan,1,id,STRING,NULLABLE,src/main/java/com/fluxfhir/opt/v2/infrastructure/bigquery/schema/CarePlanSchema.java
CarePlan,2,resourceType,STRING,NULLABLE,src/main/java/com/fluxfhir/opt/v2/infrastructure/bigquery/schema/CarePlanSchema.java
CarePlan,3,meta_versionId,STRING,NULLABLE,src/main/java/com/fluxfhir/opt/v2/infrastructure/bigquery/schema/CarePlanSchema.java
CarePlan,4,meta_lastUpdated,TIMESTAMP,NULLABLE,src/main/java/com/fluxfhir/opt/v2/infrastructure/bigquery/schema/CarePlanSchema.java
CarePlan,5,meta_profile_0,STRING,NULLABLE,src/main/java/com/fluxfhir/opt/v2/infrastructure/bigquery/schema/CarePlanSchema.java
CarePlan,6,text_status,STRING,NULLABLE,src/main/java/com/fluxfhir/opt/v2/infrastructure/bigquery/schema/CarePlanSchema.java
CarePlan,7,text_div,STRING,NULLABLE,src/main/java/com/fluxfhir/opt/v2/infrastructure/bigquery/schema/CarePlanSchema.java
CarePlan,8,identifier_0_system,STRING,NULLABLE,src/main/java/com/fluxfhir/opt/v2/infrastructure/bigquery/schema/CarePlanSchema.java
CarePlan,9,identifier_0_value,STRING,NULLABLE,src/main/java/com/fluxfhir/opt/v2/infrastructure/bigquery/schema/CarePlanSchema.java
CarePlan,10,instantiatesCanonical_0,STRING,NULLABLE,src/main/java/com/fluxfhir/opt/v2/infrastructure/bigquery/schema/CarePlanSchema.java
CarePlan,11,status,STRING,NULLABLE,src/main/java/com/fluxfhir/opt/v2/infrastructure/bigquery/schema/CarePlanSchema.java
CarePlan,12,intent,STRING,NULLABLE,src/main/java/com/fluxfhir/opt/v2/infrastructure/bigquery/schema/CarePlanSchema.java
CarePlan,13,category_0_coding_0_system,STRING,NULLABLE,src/main/java/com/fluxfhir/opt/v2/infrastructure/bigquery/schema/CarePlanSchema.java
CarePlan,14,category_0_coding_0_code,STRING,NULLABLE,src/main/java/com/fluxfhir/opt/v2/infrastructure/bigquery/schema/CarePlanSchema.java
